iter	RMSE
273	12008.37198
274	11974.14694
275	11934.63651
276	11917.37529
277	11883.01561
278	11859.33122
279	11829.1534
280	11813.65204
281	11783.73857
282	11760.49399
283	11736.39947
284	11718.08136
285	11695.07128
286	11673.08991
287	11636.00551
288	11606.20527
289	11578.67056
290	11558.67155
291	11539.11222
292	11518.45347
293	11493.25369
294	11472.39053
295	11445.94645
296	11416.8725
297	11390.71883
298	11369.63243
299	11352.91492
300	11337.68764
301	11317.64702
302	11290.95468
303	11259.94133
304	11224.76045
305	11204.47619
306	11168.58717
307	11136.05654
308	11115.8885
309	11087.31859
310	11053.74399
311	11042.8898
312	11014.89877
313	10999.67696
314	10950.73439
315	10930.42139
316	10914.59447
317	10879.80402
318	10872.20681
319	10849.3213
320	10812.32614
321	10786.44983
322	10768.18862
323	10754.42024
324	10739.79962
325	10721.47983
326	10703.41319
327	10684.15455
328	10654.62504
329	10635.29575
330	10609.83809
331	10583.14267
332	10555.65036
333	10533.64858
334	10513.78981
335	10496.47556
336	10473.13687
337	10441.98825
338	10418.03129
339	10400.64569
340	10384.88789
341	10369.7435
342	10354.12207
343	10327.25243
344	10301.7599
345	10291.51854
346	10261.29498
347	10238.1369
348	10221.82411
349	10206.37187
350	10182.50995
351	10153.88389
352	10136.99286
353	10101.41874
354	10084.60385
355	10067.01833
356	10039.24945
357	10019.18873
358	10007.10231
359	9987.501229
360	9965.267767
361	9942.257851
362	9928.409886
363	9914.377268
364	9900.66791
365	9880.996771
366	9864.432948
367	9839.518151
368	9797.509077
369	9778.204052
370	9754.345854
371	9741.491142
372	9726.298181
373	9707.889928
374	9690.389143
375	9671.70222
376	9645.919117
377	9631.282371
378	9612.307075
379	9597.070291
380	9581.440392
381	9563.57479
382	9546.238638
383	9535.693723
384	9510.676228
385	9491.152705
386	9468.596042
387	9454.083182
388	9439.515057
389	9427.718637
390	9408.69583
391	9383.301484
392	9362.212599
393	9339.650519
394	9317.969806
395	9302.56571
396	9287.531202
397	9265.024374
398	9248.711071
399	9240.169417
400	9219.901734
401	9206.195128
402	9188.909277
403	9177.218254
404	9154.295916
405	9139.755739
406	9119.742228
407	9107.463938
408	9086.5514
409	9049.454056
410	9033.89305
411	9010.120873
412	8995.727719
413	8974.802974
414	8961.424072
415	8944.561142
416	8935.184448
417	8921.538357
418	8909.599918
419	8890.699201
420	8871.375867
421	8852.369942
422	8822.827356
423	8806.251651
424	8790.29028
425	8776.293861
426	8761.704613
427	8738.780546
428	8725.231672
429	8712.39907
430	8696.761924
431	8684.380495
432	8671.455096
433	8661.755916
434	8652.007711
435	8641.49165
436	8632.296568
437	8619.058422
438	8608.184013
439	8588.051295
440	8569.947832
441	8550.235447
442	8532.155251
443	8520.049392
444	8486.136853
445	8472.110706
446	8455.517106
447	8440.14142
448	8426.396399
449	8409.096055
450	8399.352437
451	8389.0124
452	8373.759292
453	8365.906345
454	8348.894779
455	8332.374808
456	8315.341258
457	8302.409364
458	8289.57872
459	8272.647412
460	8257.750558
461	8238.922875
462	8222.677606
463	8207.032317
464	8190.565619
465	8171.567874
466	8161.97636
467	8151.336926
468	8134.954431
469	8114.026984
470	8103.740134
471	8091.473309
472	8084.42217
473	8066.329499
474	8047.922271
475	8028.559654
476	8013.022383
477	7998.838842
478	7986.271322
479	7974.895525
480	7956.662948
481	7947.504753
482	7939.060387
483	7924.61254
484	7903.991121
485	7890.778423
486	7870.569298
487	7860.234665
488	7836.386198
489	7821.866192
490	7803.116134
491	7784.586365
492	7756.43567
493	7748.400912
494	7731.759211
495	7720.358988
496	7708.146447
497	7682.41016
498	7672.83453
499	7660.480779
500	7649.299641
501	7640.092709
502	7629.52925
503	7618.456647
504	7610.60173
505	7596.290663
506	7587.816862
507	7578.932964
508	7570.2331
509	7562.233029
510	7536.05037
511	7511.897085
512	7497.525287
513	7484.743331
514	7467.724576
515	7458.770737
516	7450.377113
517	7432.019083
518	7425.037595
519	7412.18879
520	7399.504879
521	7389.216086
522	7377.071907
523	7370.365392
524	7358.073842
525	7348.334489
526	7339.882822
527	7326.19821
528	7307.490979
529	7291.905923
530	7279.174876
531	7266.771895
532	7255.916453
533	7245.977424
534	7233.787471
535	7225.095568
536	7212.860523
537	7204.697187
538	7195.058923
539	7173.479271
540	7161.421135
541	7140.072086
542	7131.276843
543	7125.970276
544	7120.9733
545	7115.374308
546	7103.743157
547	7095.810838
548	7082.290896
549	7068.745918
550	7057.631907
551	7052.381255
552	7042.606937
553	7034.005791
554	7027.259222
555	7016.51179
556	7011.170596
557	6998.491273
558	6988.609908
559	6976.58425
560	6965.337746
561	6950.942444
562	6932.849048
563	6924.176577
564	6915.816263
565	6901.057938
566	6896.293243
567	6882.564669
568	6870.543834
569	6859.413753
570	6843.739169
571	6833.776919
572	6821.382425
573	6809.964373
574	6804.434752
575	6792.786969
576	6783.0882
577	6775.019001
578	6760.535408
579	6742.605799
580	6730.822762
581	6722.957417
582	6715.491652
583	6704.454298
584	6691.600155
585	6684.30476
586	6670.861465
587	6658.352278
588	6645.127697
589	6632.897671
590	6625.759834
591	6618.553538
592	6608.275088
593	6601.671421
594	6588.911963
595	6576.487345
596	6561.044686
597	6554.551485
598	6538.467855
599	6523.985499
600	6515.683755
601	6507.465737
602	6492.944493
603	6479.208306
604	6465.857141
605	6456.14972
606	6445.56271
607	6440.891712
608	6433.85255
609	6429.360534
610	6418.041529
611	6408.232559
612	6394.761778
613	6384.495339
614	6374.575162
615	6364.092478
616	6352.02016
617	6342.420073
618	6332.15747
619	6321.164734
620	6312.069613
621	6306.879896
622	6296.881445
623	6289.536527
624	6278.217853
625	6265.848645
626	6256.087858
627	6241.774921
628	6231.055537
629	6222.638229
630	6214.97008
631	6206.20138
632	6199.42751
633	6187.516478
634	6177.062861
635	6167.315035
636	6157.594282
637	6153.235312
638	6149.687427
639	6143.541927
640	6136.184768
641	6123.17207
642	6113.419133
643	6105.41728
644	6096.785215
645	6084.592103
646	6071.94211
647	6063.206958
648	6050.761433
649	6037.92166
650	6031.587904
651	6023.382196
652	6011.815432
653	6000.322626
654	5988.497946
655	5983.684992
656	5973.093336
657	5968.099289
658	5960.191675
659	5945.398789
660	5934.016925
661	5924.516976
662	5920.775337
663	5913.393252
664	5902.726867
665	5884.903222
666	5880.42594
667	5873.198666
668	5865.953314
669	5859.006429
670	5853.376031
671	5844.601594
672	5841.751176
673	5834.904274
674	5825.927353
675	5821.136501
676	5815.840073
677	5807.805953
678	5800.92453
679	5790.718807
680	5781.429607
681	5772.576505
682	5759.852938
683	5753.67939
684	5742.144286
685	5738.128122
686	5732.130179
687	5717.629332
688	5711.630722
689	5702.394179
690	5696.770527
691	5692.804022
692	5685.726168
693	5675.458059
694	5667.470996
695	5659.945981
696	5652.593583
697	5647.193839
698	5638.687886
699	5632.116859
700	5623.049355
701	5618.755853
702	5606.613631
703	5594.03827
704	5586.188424
705	5578.417933
706	5566.704384
707	5562.847965
708	5554.208347
709	5548.672315
710	5542.068105
711	5535.760167
712	5529.599892
713	5520.465553
714	5511.406161
715	5503.145098
716	5493.365653
717	5482.375594
718	5472.026396
719	5467.314308
720	5463.90983
721	5459.058864
722	5447.968155
723	5442.334531
724	5435.878785
725	5429.570819
726	5422.636876
727	5414.618295
728	5404.477023
729	5399.605955
730	5388.989877
731	5382.440022
732	5371.050836
733	5359.227574
734	5351.852297
735	5338.989163
736	5330.135995
737	5324.65422
738	5321.801246
739	5312.512112
740	5302.520965
741	5292.490631
742	5285.279361
743	5279.377584
744	5271.161681
745	5263.302431
746	5256.881105
747	5245.191534
748	5239.992038
749	5228.588959
750	5223.627248
751	5216.418766
752	5213.361056
753	5202.877728
754	5196.301516
755	5188.273471
756	5180.14082
757	5176.787936
758	5171.240065
759	5164.867383
760	5160.547817
761	5152.402956
762	5144.210121
763	5133.421322
764	5128.826051
765	5121.487409
766	5113.435436
767	5102.781883
768	5096.939099
769	5089.727208
770	5084.361381
771	5081.321479
772	5078.569679
773	5075.559403
774	5068.272595
775	5061.323879
776	5051.298797
777	5045.240155
778	5038.879269
779	5034.812541
780	5025.576571
781	5019.411914
782	5016.721396
783	5009.810482
784	5004.967558
785	4997.794418
786	4990.186553
787	4985.427361
788	4977.404354
789	4968.518737
790	4959.415205
791	4955.240054
792	4950.667557
793	4943.04436
794	4934.177657
795	4921.311909
796	4915.894904
797	4910.948128
798	4907.238372
799	4900.171755
800	4895.611875
801	4886.384295
802	4880.510345
803	4873.669589
804	4870.40945
805	4862.905842
806	4860.584536
807	4855.424611
808	4847.693079
809	4841.118873
810	4836.871183
811	4833.323601
812	4830.681269
813	4823.727066
814	4821.18679
815	4819.095794
816	4816.193827
817	4810.804352
818	4806.823686
819	4798.929815
820	4791.709233
821	4786.442105
822	4779.570821
823	4774.626342
824	4769.016481
825	4763.359327
826	4759.54133
827	4756.911293
828	4753.307938
829	4747.895231
830	4743.542843
831	4734.16347
832	4729.386433
833	4722.514646
834	4715.718515
835	4712.935219
836	4708.424658
837	4702.534513
838	4695.881562
839	4687.367536
840	4679.485781
841	4674.179594
842	4669.974492
843	4663.248624
844	4658.931722
845	4655.873385
846	4645.985414
847	4641.80205
848	4634.295747
849	4628.552184
850	4624.929162
851	4615.425236
852	4611.579553
853	4607.73987
854	4603.162292
855	4600.088092
856	4595.346191
857	4590.779039
858	4587.149162
859	4579.653042
860	4573.262717
861	4566.114848
862	4559.891901
863	4551.961046
864	4548.564971
865	4545.159165
866	4539.558398
867	4535.481751
868	4532.446106
869	4525.717767
870	4519.541586
871	4514.476074
872	4509.425068
873	4506.649663
874	4502.318671
875	4498.990591
876	4491.750109
877	4483.973727
878	4480.529479
879	4476.355971
880	4471.195199
881	4463.544438
882	4454.701326
883	4449.735755
884	4442.606313
885	4436.93863
886	4429.504418
887	4424.479458
888	4422.084328
889	4414.705277
890	4411.910201
891	4408.92506
892	4406.299968
893	4403.548631
894	4400.018666
895	4396.939622
896	4395.42663
897	4389.134529
898	4381.626591
899	4378.519576
900	4375.366393
901	4369.905378
902	4362.743745
903	4358.660879
904	4354.898638
905	4350.244473
906	4347.544451
907	4344.552509
908	4340.795132
909	4333.843027
910	4325.670038
911	4319.777177
912	4310.354267
913	4304.828888
914	4295.352521
915	4290.360378
916	4287.497681
917	4282.347075
918	4275.078937
919	4270.840654
920	4267.096332
921	4262.950678
922	4258.708877
923	4252.25361
924	4244.970579
925	4238.532002
926	4234.193879
927	4229.886481
928	4224.733656
929	4218.579493
930	4213.362227
931	4211.554451
932	4206.827694
933	4201.509163
934	4197.623733
935	4191.125875
936	4186.75061
937	4178.38423
938	4175.180849
939	4170.394593
940	4166.26731
941	4159.194374
942	4155.15455
943	4151.793755
944	4145.973475
945	4141.837752
946	4136.430752
947	4128.9035
948	4125.828476
949	4118.422558
950	4111.444092
951	4106.423988
952	4101.839989
953	4094.414862
954	4091.963576
955	4087.574695
956	4084.66632
957	4079.505872
958	4076.653323
959	4071.304079
960	4069.629916
961	4064.909202
962	4060.797069
963	4056.02155
964	4052.623093
965	4049.258376
966	4044.510183
967	4039.890381
968	4034.076395
969	4030.547349
970	4024.233706
971	4020.667369
972	4014.691172
973	4010.791543
974	4006.097726
975	4003.422436
976	3995.879422
977	3988.612608
978	3984.739589
979	3979.40906
980	3975.054969
981	3971.235644
982	3968.768798
983	3966.20331
984	3961.777107
985	3957.802718
986	3952.07138
987	3944.399669
988	3938.669602
989	3933.666149
990	3929.298712
991	3922.972566
992	3917.867059
993	3915.154513
994	3909.634196
995	3905.879875
996	3900.859221
997	3895.695231
998	3889.516478
999	3887.515595
