Id,LotArea,Street,LotConfig,OverallQual,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageCars,GarageArea,YrSold,SalePrice
15,6120,Pave,Corner,7,8,1929,2001,832,854,0,854,1,0,2,1,5,0,Detchd,1991,2,576,2007,132000
16,11241,Pave,CulDSac,6,7,1970,1970,1004,1004,0,1004,1,0,2,1,5,1,Attchd,1970,2,480,2010,149000
17,10791,Pave,Inside,4,5,1967,1967,0,1296,0,1296,2,0,2,2,6,0,CarPort,1967,2,516,2006,90000
18,13695,Pave,Inside,5,5,2004,2004,1114,1114,0,1114,1,1,3,1,6,0,Detchd,2004,2,576,2008,159000
19,7560,Pave,Inside,5,6,1958,1965,1029,1339,0,1339,1,0,3,1,6,0,Attchd,1958,1,294,2009,139000
20,14215,Pave,Corner,8,5,2005,2006,1158,1158,1218,2376,3,1,4,1,9,1,BuiltIn,2005,3,853,2006,325300
21,7449,Pave,Inside,7,7,1930,1950,637,1108,0,1108,1,0,3,1,6,1,Attchd,1930,1,280,2007,139400
22,9742,Pave,Inside,8,5,2002,2002,1777,1795,0,1795,2,0,3,1,7,1,Attchd,2002,2,534,2008,230000
23,4224,Pave,Inside,5,7,1976,1976,1040,1060,0,1060,1,0,3,1,6,1,Attchd,1976,2,572,2007,129900
24,8246,Pave,Inside,5,8,1968,2001,1060,1060,0,1060,1,0,3,1,6,1,Attchd,1968,1,270,2010,154000
25,11049,Pave,Corner,8,5,2007,2007,1234,1234,0,1234,2,0,3,1,7,0,Attchd,2007,2,484,2008,179900
26,10552,Pave,Inside,5,5,1959,1959,1398,1700,0,1700,1,1,4,1,6,1,Attchd,1959,2,447,2010,165500
27,7313,Pave,Inside,9,5,2005,2005,1561,1561,0,1561,2,0,2,1,6,1,Attchd,2005,2,556,2007,277500
28,13418,Pave,Inside,8,5,2004,2005,1117,1132,1320,2452,3,1,4,1,9,1,BuiltIn,2004,3,691,2006,309000
29,10859,Pave,Corner,5,5,1994,1995,1097,1097,0,1097,1,1,3,1,6,0,Attchd,1995,2,672,2009,145000
30,8532,Pave,Inside,5,6,1954,1990,1297,1297,0,1297,1,0,3,1,5,1,Attchd,1954,2,498,2009,153000
31,7922,Pave,Inside,5,7,1953,2007,1057,1057,0,1057,1,0,3,1,5,0,Detchd,1953,1,246,2010,109000
32,6040,Pave,Inside,4,5,1955,1955,0,1152,0,1152,2,0,2,2,6,0,NA,NA,0,0,2008,82000
33,8658,Pave,Inside,6,5,1965,1965,1088,1324,0,1324,2,0,3,1,6,1,Attchd,1965,2,440,2006,160000
34,9200,Pave,CulDSac,5,6,1975,1980,938,938,0,938,1,0,3,1,5,0,Detchd,1977,1,308,2008,130250
35,7945,Pave,Inside,5,6,1959,1959,1150,1150,0,1150,1,0,3,1,6,0,Attchd,1959,1,300,2006,141000
36,7658,Pave,Inside,9,5,2005,2005,1752,1752,0,1752,2,0,2,1,6,1,Attchd,2005,2,576,2010,319900
37,12822,Pave,CulDSac,7,5,2003,2003,1434,1518,631,2149,1,1,1,1,6,1,Attchd,2003,2,670,2009,239686
38,11096,Pave,Inside,8,5,2006,2006,1656,1656,0,1656,2,0,3,1,7,0,Attchd,2006,3,826,2007,249700
39,4456,Pave,Inside,4,5,1920,2008,736,736,716,1452,2,0,2,3,8,0,NA,NA,0,0,2009,113000
40,7742,Pave,Inside,5,7,1966,1966,955,955,0,955,1,0,3,1,6,0,Attchd,1966,1,386,2007,127000
41,13869,Pave,Corner,6,6,1997,1997,794,794,676,1470,2,0,3,1,6,0,Attchd,1997,2,388,2007,177000
42,6240,Pave,Inside,6,6,1934,1950,816,816,0,1176,1,0,3,1,6,1,Detchd,1985,2,528,2006,114500
43,8472,Grvl,Corner,5,5,1963,1963,816,816,0,816,1,0,2,1,5,0,CarPort,1963,2,516,2010,110000
44,50271,Pave,Inside,9,5,1981,1987,1842,1842,0,1842,0,1,0,1,5,1,Attchd,1981,3,894,2006,385000
45,7134,Pave,Inside,5,5,1955,1955,384,1360,0,1360,1,0,3,1,6,1,Detchd,1962,2,572,2007,130000
46,10175,Pave,Inside,6,5,1964,1964,1425,1425,0,1425,2,0,3,1,7,1,Attchd,1964,2,576,2008,180500
47,2645,Pave,Inside,8,5,1999,2000,970,983,756,1739,2,1,3,1,7,0,Attchd,1999,2,480,2009,172500
48,11645,Pave,Corner,7,5,2004,2004,860,860,860,1720,2,1,3,1,7,0,Attchd,2004,2,565,2006,196500
49,13682,Pave,CulDSac,10,5,2006,2006,1410,1426,1519,2945,3,1,3,1,10,1,BuiltIn,2006,3,641,2006,438780
50,7200,Pave,Inside,5,7,1972,1972,780,780,0,780,1,0,2,1,4,0,Detchd,1973,1,352,2008,124900
51,13072,Pave,Inside,6,5,2004,2004,1158,1158,0,1158,1,1,3,1,5,0,Detchd,2006,2,576,2006,158000
52,6442,Pave,Inside,8,5,2006,2006,1370,1370,0,1370,2,0,2,1,6,1,Attchd,2006,2,484,2007,202500
53,9375,Pave,Inside,7,5,1997,1998,1057,1057,977,2034,2,1,3,1,8,0,Attchd,1998,2,645,2009,219500
54,9591,Pave,Inside,8,5,2004,2005,1143,1143,1330,2473,2,1,4,1,9,1,BuiltIn,2004,3,852,2007,317000
55,19900,Pave,Inside,7,5,1970,1989,1947,2207,0,2207,2,0,3,1,7,1,Attchd,1970,2,576,2010,180000
56,13651,Pave,Inside,7,6,1973,1973,2223,2223,0,2223,2,0,3,1,8,2,Attchd,1973,2,516,2007,244000
57,7599,Pave,Corner,4,6,1982,2006,845,845,0,845,1,0,2,1,4,0,Detchd,1987,2,360,2007,129500
58,10141,Pave,Corner,7,5,1998,1998,832,885,833,1718,2,1,3,1,7,1,Attchd,1998,2,427,2009,185000
59,5790,Pave,Corner,3,6,1915,1950,840,840,765,1605,2,0,3,2,8,0,Detchd,1915,1,379,2010,107400
60,1596,Pave,Inside,4,5,1973,1973,462,526,462,988,1,0,2,1,5,0,BuiltIn,1973,1,297,2009,91000
61,8475,Pave,Inside,4,7,1956,1956,952,952,0,952,1,0,2,1,4,0,Detchd,1956,1,283,2008,135750
62,8635,Pave,Inside,5,5,1948,2001,672,1072,213,1285,1,0,2,1,6,0,Detchd,1948,1,240,2008,127000
63,10778,Pave,Inside,4,5,1968,1968,1768,1768,0,1768,2,0,4,2,8,0,NA,NA,0,0,2010,136500
64,10440,Pave,Corner,5,6,1910,1981,440,682,548,1230,1,1,2,1,5,0,Detchd,1966,2,440,2009,110000
65,13000,Pave,Corner,6,6,1968,1968,896,1182,960,2142,2,1,4,1,8,1,Attchd,1968,1,509,2009,193500
66,4500,Pave,FR2,6,5,1998,1998,1237,1337,0,1337,2,0,2,1,5,0,Attchd,1998,2,405,2006,153500
67,10206,Pave,Inside,8,5,2007,2007,1563,1563,0,1563,2,0,3,1,6,1,Attchd,2007,3,758,2008,245000
68,8892,Pave,Inside,5,5,1960,1960,1065,1065,0,1065,1,1,3,1,6,0,Detchd,1974,2,461,2007,126500
69,8530,Pave,Inside,7,5,1995,1996,384,804,670,1474,2,1,3,1,7,1,BuiltIn,1995,2,400,2009,168500
70,16059,Pave,Corner,8,5,1991,1992,1288,1301,1116,2417,2,1,4,1,9,1,Attchd,1991,2,462,2006,260000
71,11911,Pave,Inside,6,5,2005,2005,684,684,876,1560,2,1,3,1,6,1,BuiltIn,2005,2,400,2009,174000
72,3951,Pave,Corner,6,5,2009,2009,612,612,612,1224,2,1,2,1,4,0,Detchd,2009,2,528,2009,164500
73,8470,Pave,Corner,3,2,1915,1982,1013,1013,0,1526,1,0,2,1,6,0,NA,NA,0,0,2009,85000
74,8070,Pave,Inside,4,5,1994,1995,990,990,0,990,1,0,3,1,5,0,NA,NA,0,0,2007,123600
75,7200,Pave,Inside,4,5,1950,1950,0,1040,0,1040,1,0,2,1,4,0,Detchd,1950,2,420,2006,109900
76,8500,Pave,Inside,5,3,1961,1961,1235,1235,0,1235,1,0,2,1,6,0,Attchd,1961,2,480,2006,98600
77,13360,Pave,Inside,5,7,1921,2006,876,964,0,964,1,0,2,1,5,0,Detchd,1921,2,432,2009,163500
78,7200,Pave,Corner,6,6,1910,1998,1214,1260,1031,2291,2,0,4,2,9,1,Detchd,1900,2,506,2007,133900
79,9337,Pave,Inside,6,5,1997,1997,824,905,881,1786,2,1,3,1,7,0,Attchd,1997,2,684,2007,204750
80,9765,Pave,Corner,6,8,1993,1993,680,680,790,1470,2,1,3,1,6,1,BuiltIn,1993,2,420,2009,185000
81,10264,Pave,Inside,7,5,1999,1999,1588,1588,0,1588,2,0,3,1,6,0,Attchd,1999,2,472,2006,214000
82,10921,Pave,Inside,4,5,1965,1965,960,960,0,960,1,0,3,1,6,0,Attchd,1965,1,432,2007,94750
83,10625,Pave,Corner,5,5,1920,1950,458,835,0,835,1,0,2,1,5,0,Basment,1920,1,366,2010,83000
84,9320,Pave,Inside,4,5,1959,1959,950,1225,0,1225,1,1,3,1,6,0,NA,NA,0,0,2010,128950
85,10603,Pave,Inside,6,7,1977,2001,1610,1610,0,1610,2,0,3,1,6,2,Attchd,1977,2,480,2010,205000
86,9206,Pave,Inside,6,5,1985,1985,741,977,755,1732,2,1,3,1,7,1,Attchd,1985,2,476,2010,178000
87,7018,Pave,Inside,5,5,1979,1979,0,1535,0,1535,2,0,4,2,8,0,Attchd,1979,2,410,2009,118964
88,10800,Pave,Inside,4,7,1885,1995,641,1047,0,1047,1,0,2,1,6,0,Detchd,1954,1,273,2007,100000
89,6000,Pave,Inside,5,5,1948,1950,789,789,0,789,1,0,2,1,5,0,Detchd,1948,1,250,2008,115000
90,8500,Pave,Corner,5,7,1919,2005,793,997,520,1517,2,0,3,1,7,0,NA,NA,0,0,2007,115000
91,11751,Pave,Inside,6,6,1977,1977,1844,1844,0,1844,2,0,3,1,7,1,Attchd,1977,2,546,2010,190000
92,9525,Pave,Inside,6,4,1954,1972,994,1216,639,1855,2,0,4,1,7,0,Attchd,1954,1,325,2006,136900
93,7750,Pave,Inside,7,5,2000,2000,384,774,656,1430,2,1,3,1,7,1,BuiltIn,2000,2,400,2010,180000
94,9965,Pave,Inside,7,5,2007,2007,1264,1282,1414,2696,2,1,4,1,10,1,BuiltIn,2007,3,792,2007,383970
95,21000,Pave,Corner,6,5,1953,1953,1809,2259,0,2259,2,0,3,1,7,2,Basment,1953,2,450,2007,217000
96,7259,Pave,Inside,6,8,1945,2002,1028,1436,884,2320,2,1,3,1,9,1,Detchd,1945,1,180,2007,259500
97,3230,Pave,Corner,6,5,1999,1999,729,729,729,1458,2,1,2,1,5,1,Detchd,1999,2,440,2007,176000
98,11616,Pave,Inside,5,5,1962,1962,1092,1092,0,1092,1,0,3,1,6,1,Attchd,1962,1,288,2009,139000
99,8536,Pave,Corner,5,5,2006,2007,1125,1125,0,1125,1,1,2,1,5,0,Attchd,2007,2,430,2007,155000
100,12376,Pave,Corner,7,5,1990,1990,1673,1699,1523,3222,3,0,5,1,11,2,Attchd,1990,3,594,2010,320000
101,8461,Pave,Inside,6,5,2005,2006,728,728,728,1456,2,1,3,1,8,1,Attchd,2005,2,390,2006,163990
102,21453,Pave,CulDSac,6,5,1969,1969,938,988,0,988,1,0,1,1,4,2,Attchd,1969,2,540,2006,180000
103,9464,Pave,Corner,6,7,1958,1958,1080,1080,0,1080,1,0,3,1,5,0,Attchd,1958,1,288,2008,136000
104,7892,Pave,Inside,6,5,1993,1993,1199,1199,0,1199,2,0,2,1,5,0,Attchd,1993,2,530,2008,153900
105,17043,Pave,CulDSac,6,5,1979,1998,1362,1586,0,1586,2,0,3,1,7,1,Attchd,1979,2,435,2009,181000
106,6780,Pave,Inside,6,8,1935,1982,520,520,0,754,1,0,2,1,5,0,NA,NA,0,0,2006,84500
107,4928,Pave,Inside,6,5,1976,1976,1078,958,0,958,2,0,2,1,5,1,Attchd,1977,2,440,2007,128000
108,4388,Pave,Inside,5,7,1930,1950,672,840,0,840,1,0,3,1,5,1,NA,NA,0,0,2007,87000
109,7590,Pave,Inside,6,5,1966,1966,660,660,688,1348,1,1,3,1,6,1,Attchd,1966,2,453,2006,155000
110,8973,Pave,Inside,5,7,1958,1991,1008,1053,0,1053,1,1,3,1,6,0,2Types,1998,2,750,2006,150000
111,14200,Pave,Corner,7,6,1966,1966,924,1216,941,2157,2,1,4,1,8,2,Attchd,1966,2,487,2006,226000
112,12224,Pave,Corner,6,5,2000,2000,992,1022,1032,2054,2,1,3,1,7,1,BuiltIn,2000,2,390,2009,244000
113,7388,Pave,Corner,5,6,1959,2002,1063,1327,0,1327,1,0,3,1,7,0,Detchd,1974,2,624,2007,150750
114,6853,Pave,Inside,8,5,2001,2002,1267,1296,0,1296,2,0,2,1,6,0,Attchd,2001,2,471,2009,220000
115,10335,Pave,Inside,5,6,1968,1993,1461,1721,0,1721,2,1,3,1,7,1,Attchd,1968,2,440,2006,180000
116,10400,Pave,Inside,7,6,1970,1970,1304,1682,0,1682,2,0,3,1,7,1,Attchd,1970,2,530,2008,174000
117,10355,Pave,Corner,5,5,1967,1967,1214,1214,0,1214,2,0,3,1,5,1,Attchd,1967,1,318,2007,143000
118,11070,Pave,Inside,7,5,1988,1989,1907,1959,0,1959,3,0,5,2,9,0,2Types,1989,3,766,2006,171000
119,9066,Pave,Inside,8,5,1999,2000,1004,1004,848,1852,2,1,3,1,7,2,Attchd,1999,3,660,2008,230000
120,15426,Pave,Inside,6,5,1997,1997,928,928,836,1764,2,1,3,1,7,0,Attchd,1997,2,470,2009,231500
121,10500,Pave,FR2,4,5,1971,1971,864,864,0,864,1,0,3,1,5,1,NA,NA,0,0,2010,115000
122,11645,Pave,Inside,7,5,2005,2005,1734,1734,0,1734,2,0,3,1,7,0,Attchd,2005,2,660,2006,260000
123,8520,Pave,Corner,5,4,1952,1952,910,910,475,1385,2,0,4,1,6,0,Detchd,2000,2,720,2010,166000
124,10335,Pave,Inside,7,5,1999,1999,1490,1501,0,1501,2,0,3,1,6,0,Attchd,1999,2,577,2009,204000
125,9100,Pave,Inside,5,5,1963,1963,1728,1728,0,1728,2,0,6,2,10,0,Detchd,1963,2,504,2006,125000
126,2522,Pave,Inside,6,5,2004,2006,970,970,739,1709,2,0,3,1,7,0,Detchd,2004,2,380,2006,130000
127,6120,Pave,Corner,5,7,1931,1993,715,875,0,875,1,0,2,1,5,0,Detchd,1931,1,180,2009,105000
128,9505,Pave,CulDSac,7,5,2001,2001,884,884,1151,2035,2,1,3,1,8,1,BuiltIn,2001,2,434,2010,222500
129,7500,Pave,Inside,7,5,2004,2005,1080,1080,0,1080,1,0,3,1,6,0,NA,NA,0,0,2008,141000
130,6240,Pave,Inside,5,4,1936,1950,896,896,448,1344,1,0,3,1,7,0,Detchd,1936,1,240,2006,115000
131,10356,Pave,Corner,5,6,1975,1975,969,969,0,969,1,1,3,1,5,0,Attchd,1975,2,440,2007,122000
132,13891,Pave,Inside,8,5,2007,2008,1710,1710,0,1710,2,0,2,1,6,1,Attchd,2007,3,866,2008,372402
133,14803,Pave,CulDSac,6,5,1971,1971,825,1097,896,1993,2,1,4,1,8,1,Attchd,1971,2,495,2006,190000
134,13500,Pave,Inside,6,7,1960,1975,1602,1252,0,1252,1,0,1,1,4,1,Attchd,1960,2,564,2008,235000
135,11340,Pave,Corner,6,5,1923,1950,1200,1200,0,1200,1,0,4,1,7,0,Detchd,1923,1,312,2006,125000
136,9600,Pave,Corner,6,5,1924,1950,572,572,524,1096,1,0,2,1,5,0,NA,NA,0,0,2008,79000
137,7200,Pave,Inside,5,7,1950,1950,0,1040,0,1040,1,0,2,1,5,0,Detchd,1950,2,625,2006,109500
138,12003,Pave,Corner,8,5,2009,2010,774,774,1194,1968,2,1,4,1,8,1,BuiltIn,2009,3,680,2010,269500
139,12552,Pave,Corner,7,5,2004,2005,991,991,956,1947,2,1,3,1,8,1,Attchd,2004,2,678,2010,254900
140,19378,Pave,Corner,7,5,2005,2006,1392,1392,1070,2462,2,1,4,1,9,1,Attchd,2006,2,576,2006,320000
141,11120,Pave,CulDSac,6,6,1984,1984,1232,1232,0,1232,2,0,3,1,6,0,Attchd,1984,2,516,2008,162500
142,13688,Pave,Inside,9,5,2003,2004,1572,1572,1096,2668,2,1,3,1,10,2,BuiltIn,2003,3,726,2008,412500
143,12182,Pave,Corner,7,5,2005,2005,1541,1541,0,1541,2,0,3,1,7,1,Attchd,2005,2,532,2010,220000
144,5500,Pave,Inside,4,6,1956,1956,882,882,0,882,1,0,1,1,4,0,NA,NA,0,0,2007,103200
145,5400,Pave,Corner,6,7,1926,2004,1149,1149,467,1616,2,0,3,1,5,0,Detchd,1926,1,216,2007,152000
146,10106,Pave,Inside,5,7,1940,1999,644,808,547,1355,2,0,4,2,6,0,NA,NA,0,0,2008,127500
147,10708,Pave,Inside,5,5,1955,1993,1617,1867,0,1867,1,0,2,1,7,3,Attchd,1955,1,303,2009,190000
148,16669,Pave,Corner,8,6,1981,1981,1686,1707,0,1707,2,1,2,1,6,1,Attchd,1981,2,511,2006,228000
149,12358,Pave,Inside,5,6,1941,1950,720,854,0,1382,1,1,2,1,7,0,Detchd,1991,2,660,2007,128500
150,12615,Pave,Corner,6,7,1950,2001,1202,2158,0,2158,2,0,4,1,7,1,Attchd,1950,2,576,2007,243000
151,10029,Pave,Corner,6,5,1988,1989,1151,1164,896,2060,2,1,4,1,8,1,Attchd,1988,2,521,2007,211000
152,2117,Pave,Inside,6,5,2000,2000,756,769,756,1525,2,1,3,1,5,1,Detchd,2000,2,440,2007,177000
153,7588,Pave,Inside,7,6,1920,1950,793,901,901,1802,1,1,4,1,9,1,Detchd,1920,1,216,2006,200100
154,9060,Pave,Inside,5,6,1957,2006,0,1340,0,1340,1,0,3,1,7,1,Attchd,1957,1,252,2007,120000
155,11426,Pave,Inside,7,5,2003,2003,1362,1362,720,2082,2,1,3,1,6,0,Detchd,2003,2,484,2008,200000
156,7438,Pave,Inside,5,8,1908,1991,504,936,316,1252,1,0,3,1,5,0,Attchd,1986,2,576,2006,127000
157,9947,Pave,CulDSac,7,5,1990,1991,1188,1217,0,1217,2,0,3,1,6,0,Attchd,1990,2,497,2009,173000
158,10410,Pave,Inside,5,7,1916,1987,660,808,704,1656,2,1,3,1,8,0,Detchd,1916,1,180,2009,135000
159,7018,Pave,Inside,5,5,1979,1979,1086,1224,0,1224,0,2,2,2,6,2,Detchd,1979,2,528,2009,153337
160,10570,Pave,Inside,8,8,1932,1994,853,1549,1178,2727,2,1,3,1,10,2,Detchd,1932,2,440,2007,315000
161,7472,Pave,CulDSac,7,9,1972,2004,725,725,754,1479,1,1,4,1,7,0,Attchd,1972,2,484,2007,184000
162,9017,Pave,Inside,7,5,1999,1999,1431,1431,0,1431,2,0,3,1,6,0,Attchd,1999,2,666,2009,192000
163,2522,Pave,Inside,7,5,2004,2004,970,970,739,1709,2,0,3,1,7,0,Detchd,2004,2,380,2006,130000
164,7180,Pave,Inside,5,7,1972,1972,864,864,0,864,1,0,3,1,5,0,Detchd,1989,1,352,2008,127000
165,2280,Pave,FR2,6,6,1976,1976,855,855,601,1456,2,1,3,1,7,1,Attchd,1976,2,440,2009,148500
166,9416,Pave,Inside,7,5,2007,2007,1726,1726,0,1726,2,0,3,1,8,1,Attchd,2007,3,786,2007,311872
167,25419,Pave,Corner,8,4,1918,1990,1360,1360,1360,3112,2,0,4,1,8,1,Detchd,1918,2,795,2006,235000
168,5520,Pave,Corner,6,6,1912,1950,755,929,929,2229,1,0,5,1,8,0,NA,NA,0,0,2009,104000
169,9591,Pave,Inside,8,5,2004,2005,1713,1713,0,1713,2,0,3,1,7,1,Attchd,2004,3,856,2009,274900
170,8546,Pave,Corner,4,5,2003,2004,1121,1121,0,1121,2,0,2,1,5,0,Attchd,2003,2,440,2010,140000
171,10125,Pave,Inside,6,6,1977,1977,1196,1279,0,1279,2,0,3,1,6,2,Detchd,1980,2,473,2008,171500
172,7000,Pave,Corner,6,6,1924,1950,617,865,445,1310,2,0,2,1,6,0,Attchd,1924,1,398,2006,112000
173,4438,Pave,Inside,6,5,2004,2004,848,848,0,848,1,0,1,1,3,1,Attchd,2004,2,420,2008,149000
174,3500,Pave,Inside,5,7,1947,1950,720,720,564,1284,1,1,2,1,5,0,Detchd,1948,1,240,2009,110000
175,11851,Pave,Corner,7,5,1990,1990,1424,1442,0,1442,2,0,3,1,5,0,Attchd,1990,2,500,2009,180500
176,13673,Pave,CulDSac,5,5,1962,1962,1140,1696,0,1696,1,1,3,1,8,1,Attchd,1962,1,349,2007,143900
177,12493,Pave,Inside,4,5,1960,1960,1100,1100,0,1100,1,0,3,1,6,1,Attchd,1960,1,312,2008,141000
178,14364,Pave,Inside,7,5,1988,1989,1157,1180,882,2062,2,1,3,1,7,1,Attchd,1988,2,454,2007,277000
179,8250,Pave,Inside,6,7,1964,1964,1092,1092,0,1092,1,0,3,1,6,0,Attchd,1964,2,504,2008,145000
180,5604,Pave,Inside,5,6,1925,1950,864,864,0,864,1,0,2,1,5,0,NA,NA,0,0,2008,98000
181,10420,Pave,Corner,6,5,2009,2009,1212,1212,0,1212,2,0,3,1,6,0,Attchd,2009,2,460,2010,186000
182,8640,Pave,Inside,7,5,2009,2009,900,932,920,1852,2,1,3,1,7,1,Attchd,2009,2,644,2009,252678
183,13568,Pave,CulDSac,5,5,1995,1995,990,990,0,990,1,0,3,1,5,0,Attchd,1996,2,576,2006,156000
184,10900,Pave,FR2,6,7,1977,1977,689,689,703,1392,1,1,3,1,6,0,Attchd,1977,1,299,2010,161750
185,10011,Pave,Inside,5,6,1957,1996,1070,1236,0,1236,1,0,2,1,6,1,Attchd,1957,1,447,2006,134450
186,8450,Pave,Inside,7,5,2004,2004,1436,1436,0,1436,2,0,3,1,8,0,Attchd,2004,2,484,2008,210000
187,9906,Pave,Inside,4,4,1925,1950,686,810,518,1328,1,0,3,1,8,0,Detchd,1940,1,210,2006,107000
188,11475,Pave,Inside,6,6,1975,1975,713,811,741,1552,2,1,3,1,6,1,Attchd,1975,2,434,2006,179900
189,10500,Pave,FR2,4,6,1971,1971,864,864,0,864,1,0,2,1,4,0,Detchd,1989,2,576,2009,97000
190,13472,Pave,Inside,10,5,2003,2003,2392,2392,0,2392,2,0,3,1,8,1,Attchd,2003,3,968,2009,386250
191,1680,Pave,Inside,5,5,1971,1971,630,630,672,1302,2,1,3,1,6,0,Detchd,1991,1,280,2009,112000
192,9950,Pave,Inside,7,5,1995,1995,1203,1214,1306,2520,2,1,4,1,9,1,Attchd,1995,3,721,2007,290000
193,1869,Pave,Inside,6,6,1970,1970,483,483,504,987,1,1,2,1,5,0,Detchd,1987,1,280,2008,106000
194,8521,Pave,FR2,5,5,1967,1967,912,912,0,912,1,0,3,1,5,1,Detchd,1974,1,336,2010,125000
195,3182,Pave,Inside,7,5,2005,2006,1373,1555,0,1555,2,0,2,1,7,1,Attchd,2005,2,430,2009,192500
196,8760,Pave,Inside,6,6,1959,1959,1194,1194,0,1194,1,0,3,1,6,0,Attchd,1959,1,312,2010,148000
197,15138,Pave,Inside,8,5,1995,1996,1462,1490,1304,2794,2,1,4,1,9,1,Attchd,1995,3,810,2009,403000
198,1680,Pave,Inside,6,5,1972,1972,483,483,504,987,1,1,2,1,5,1,Attchd,1972,1,288,2006,94500
199,10650,Pave,Corner,5,6,1976,1976,894,894,0,894,1,0,3,1,5,0,Attchd,1976,1,308,2010,128200
200,7851,Pave,Inside,6,5,2002,2002,860,860,1100,1960,2,1,4,1,8,2,BuiltIn,2002,2,440,2010,216500
201,1680,Pave,Inside,6,3,1971,1971,483,483,504,987,1,1,2,1,5,0,Detchd,1971,1,264,2008,89500
202,8773,Pave,FR2,7,5,2004,2004,1414,1414,0,1414,2,0,3,1,6,0,Attchd,2004,2,494,2010,185500
203,9453,Pave,CulDSac,7,7,1993,2003,996,1014,730,1744,2,1,3,1,7,0,Attchd,1993,2,457,2010,194500
204,12030,Pave,Inside,8,5,2007,2007,1694,1694,0,1694,2,0,3,1,7,0,Attchd,2007,3,818,2007,318000
205,8741,Pave,Inside,6,4,1945,1950,735,798,689,1487,1,1,3,1,7,1,Detchd,1949,1,220,2010,113000
206,9000,Pave,Inside,8,5,2008,2008,1566,1566,0,1566,2,0,3,1,7,0,Attchd,2008,2,750,2010,262500
207,3880,Pave,Inside,5,9,1945,1997,686,866,0,866,1,0,2,1,4,0,NA,NA,0,0,2007,110500
208,5000,Pave,Corner,5,4,1900,1950,540,889,551,1440,1,0,3,1,6,0,Attchd,1940,1,352,2006,79000
209,10762,Pave,Corner,6,6,1980,1980,626,626,591,1217,1,1,3,1,6,1,Attchd,1980,1,288,2009,120000
210,8880,Pave,Inside,7,5,1994,2002,948,1222,888,2110,2,1,3,1,8,2,Attchd,1994,2,463,2010,205000
211,10400,Pave,Inside,7,5,1988,1988,1845,1872,0,1872,2,0,3,1,6,1,Attchd,1988,2,604,2006,241500
212,9142,Pave,Inside,6,8,1910,1950,1020,908,1020,1928,2,0,4,2,9,0,Detchd,1910,1,440,2006,137000
213,11310,Pave,Inside,6,5,1954,1954,1367,1375,0,1375,1,0,2,1,5,1,Attchd,1954,2,451,2006,140000
214,11317,Pave,Inside,7,5,2003,2003,840,840,828,1668,2,1,3,1,8,0,Attchd,2003,2,500,2007,180000
215,159000,Pave,CulDSac,6,7,1958,2006,1444,1444,700,2144,2,0,4,1,7,2,Attchd,1958,2,389,2007,277000
216,5350,Pave,Inside,3,2,1940,1966,728,1306,0,1306,1,0,3,1,6,0,NA,NA,0,0,2010,76500
