Id,LotArea,Street,LotConfig,OverallQual,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageCars,GarageArea,YrSold
1362,17423,Pave,CulDSac,9,5,2008,2009,2216,2234,0,2234,2,0,1,1,9,1,Attchd,2009,3,1166,2009
1363,8520,Pave,Inside,5,6,1923,2006,968,968,0,968,1,0,2,1,5,0,Detchd,1935,2,480,2007
1364,22950,Pave,Inside,10,9,1892,1993,1107,1518,1518,3608,2,1,4,1,12,2,Detchd,1993,3,840,2006
1365,4923,Pave,Inside,8,5,2001,2002,1593,1593,0,1593,1,1,0,1,5,1,Attchd,2001,2,682,2008
1366,15660,Pave,Corner,7,9,1939,2006,798,1137,817,1954,1,1,3,1,8,2,Attchd,1939,2,431,2008
1367,3010,Pave,Inside,7,5,2005,2006,1248,1248,0,1248,2,0,2,1,5,0,Attchd,2005,2,438,2006
1368,8990,Pave,Inside,7,5,2006,2006,1498,1498,0,1498,2,0,2,1,5,0,Attchd,2006,2,675,2006
1369,8068,Pave,Inside,6,5,2002,2002,1010,1010,1257,2267,2,1,4,1,8,1,BuiltIn,2002,2,390,2009
1370,8198,Pave,FR3,7,5,2004,2004,1358,1358,0,1358,2,0,2,1,6,1,Attchd,2004,2,484,2008
1371,9042,Pave,Inside,6,5,1998,1998,943,943,695,1638,2,1,3,1,7,2,Attchd,1998,2,472,2008
1372,164660,Grvl,Corner,5,6,1965,1965,1499,1619,167,1786,2,0,3,1,7,2,Attchd,1965,2,529,2008
1373,14157,Pave,Corner,9,5,2005,2006,1922,1922,0,1922,2,0,3,1,8,1,Attchd,2005,3,676,2007
1374,9135,Pave,Inside,7,5,2002,2003,1536,1536,0,1536,2,0,3,1,7,0,Attchd,2002,2,532,2008
1375,14145,Pave,Corner,7,7,1984,1998,1208,1621,0,1621,2,0,3,1,8,0,Attchd,1984,2,440,2006
1376,12400,Pave,Inside,6,7,1958,1998,1215,1215,0,1215,1,0,3,1,6,0,Attchd,1958,1,297,2009
1377,12772,Pave,CulDSac,6,8,1960,1998,958,958,0,958,1,0,2,1,5,0,Attchd,1960,1,301,2007
1378,17600,Pave,Inside,6,5,1960,1960,1478,1478,0,1478,2,0,3,1,6,2,Attchd,1960,2,498,2009
1379,2448,Pave,Inside,7,5,2003,2004,764,764,862,1626,2,1,2,1,6,0,BuiltIn,2003,2,474,2008
1380,10480,Pave,Inside,6,5,1936,1950,1064,1166,0,1639,1,0,3,1,6,0,Detchd,1936,1,240,2008
1381,15576,Pave,Inside,6,7,1915,1976,840,840,840,1680,2,0,4,1,8,0,Attchd,1960,1,308,2008
1382,14154,Pave,Corner,7,5,2006,2006,1063,1071,1101,2172,2,1,3,1,9,1,Attchd,2006,3,947,2007
1383,10800,Pave,Inside,8,5,2007,2008,1034,1050,1028,2078,2,1,3,1,8,1,Attchd,2008,3,836,2008
1384,8960,Pave,Inside,5,6,1927,1950,1008,1028,0,1028,1,0,2,1,5,1,Detchd,1927,2,360,2010
1385,11228,Pave,CulDSac,7,5,1993,1993,1080,1080,1017,2097,2,1,3,1,9,1,Attchd,1993,3,678,2008
1386,8899,Pave,Inside,7,5,2007,2007,1340,1340,0,1340,2,0,3,1,6,0,Attchd,2007,2,396,2007
1387,7844,Pave,Inside,6,7,1978,1978,672,672,728,1400,1,1,3,1,6,1,Attchd,1978,2,440,2006
1388,22420,Pave,Inside,6,6,1918,1950,1370,1370,1254,2624,2,1,4,1,10,1,Detchd,1918,3,864,2007
1389,16635,Pave,FR2,6,7,1977,2000,1602,1602,0,1602,2,0,3,1,8,1,Attchd,1977,2,529,2009
1390,21750,Pave,Inside,5,5,1954,1954,988,988,0,988,1,0,2,1,4,0,Attchd,1954,2,520,2008
1391,9200,Pave,Inside,8,5,1998,1998,1470,1470,1160,2630,2,1,4,1,8,1,Attchd,1998,3,696,2008
1392,21695,Pave,Corner,6,9,1988,2007,880,1680,0,1680,2,0,3,1,5,1,Attchd,1988,2,540,2009
1393,7314,Pave,Inside,7,5,2007,2007,1232,1232,0,1232,2,0,2,1,6,0,Attchd,2007,2,632,2009
1394,11475,Pave,Corner,5,5,1958,1958,1584,1776,0,1776,2,0,4,2,9,0,Detchd,1968,3,888,2009
1395,6240,Pave,Inside,4,5,1925,1950,780,848,0,1208,1,0,2,1,5,0,Detchd,1962,2,539,2009
1396,5389,Pave,Inside,8,5,1995,1996,1595,1616,0,1616,2,0,2,1,5,1,Attchd,1995,2,608,2010
1397,15623,Pave,Corner,10,5,1996,1996,2396,2411,2065,4476,3,1,4,1,10,2,Attchd,1996,3,813,2007
1398,10800,Pave,Inside,5,6,1920,1950,1120,1130,0,1130,1,0,2,1,5,1,Detchd,1970,2,720,2006
1399,35133,Grvl,Inside,5,4,1963,1963,1572,1572,0,1572,1,1,3,1,5,2,2Types,1963,3,995,2007
1400,9738,Pave,Inside,5,7,1924,1950,784,949,272,1221,1,0,4,1,7,0,Attchd,1965,1,392,2006
1401,2645,Pave,Inside,8,5,1999,2000,776,764,677,1441,2,1,2,1,5,0,Detchd,1999,2,492,2007
1402,9600,Pave,Inside,5,8,1925,1994,702,842,630,1472,1,0,3,1,6,0,Detchd,1925,1,250,2007
1403,4500,Pave,FR2,6,5,1999,1999,1224,1224,0,1224,2,0,2,1,5,0,Attchd,1999,2,402,2009
1404,9364,Pave,Corner,6,7,1969,1969,663,663,689,1352,1,1,4,1,7,0,Attchd,1969,1,299,2010
1405,8029,Pave,Inside,6,5,2005,2005,728,728,728,1456,2,1,3,1,8,0,Attchd,2005,2,400,2008
1406,14054,Pave,Inside,7,5,2006,2006,879,879,984,1863,2,1,4,1,9,1,BuiltIn,2006,3,660,2006
1407,8850,Pave,Corner,7,6,1916,1950,815,815,875,1690,1,0,3,1,7,1,Detchd,1916,1,225,2006
1408,9100,Pave,Inside,7,5,2001,2001,1212,1212,0,1212,2,0,3,1,6,0,Attchd,2001,2,573,2009
1409,11235,Pave,Inside,4,5,1963,1979,1051,1382,0,1382,1,1,3,1,6,1,Attchd,1974,2,459,2006
1410,9353,Pave,Inside,4,5,1970,1970,864,864,0,864,1,0,3,1,5,0,Attchd,1972,1,280,2006
1411,10400,Pave,Corner,7,5,1998,1998,866,866,913,1779,2,1,3,1,6,0,Attchd,1998,2,546,2009
1412,6000,Pave,Corner,5,8,1925,1997,884,884,464,1348,1,0,3,1,5,1,Detchd,1960,1,216,2009
1413,7763,Pave,Inside,5,7,1962,1980,931,1283,0,1283,1,0,3,1,6,0,Detchd,1980,2,506,2008
1414,7153,Pave,Inside,6,5,1991,1991,1278,1294,0,1294,2,0,3,1,6,0,Attchd,1991,2,496,2008
1415,17500,Pave,Inside,7,8,1959,2002,1902,1902,0,1902,2,0,3,1,7,2,Attchd,1959,2,567,2010
1416,8814,Pave,Inside,7,5,2005,2007,1274,1274,0,1274,2,0,3,1,6,0,Attchd,2005,2,508,2007
1417,9572,Pave,Inside,8,5,1990,1990,1453,1453,1357,2810,2,1,4,1,9,1,Attchd,1990,2,750,2007
1418,14774,Pave,Corner,9,5,1999,1999,1393,1422,1177,2599,2,1,4,1,10,1,BuiltIn,1999,3,779,2010
1419,8190,Pave,Inside,4,6,1954,1954,948,948,0,948,1,0,3,1,5,1,Detchd,1956,1,280,2007
1420,11075,Pave,Inside,6,5,1969,1969,952,1092,1020,2112,2,1,4,1,9,2,Attchd,1969,2,576,2008
1421,10226,Pave,Inside,8,5,2008,2008,1622,1630,0,1630,2,0,3,1,8,1,Attchd,2008,3,860,2009
1422,2117,Pave,Inside,6,5,2000,2000,756,769,804,1573,2,1,3,1,5,0,Detchd,2000,2,440,2010
1423,16737,Pave,FR3,9,5,2004,2005,1980,1980,0,1980,2,0,3,1,8,1,Attchd,2004,3,770,2006
1424,9842,Pave,Inside,5,6,1921,1998,612,990,1611,2601,3,1,4,1,8,0,BuiltIn,1998,2,621,2008
1425,16158,Pave,Inside,7,5,2005,2005,1530,1530,0,1530,2,0,3,1,7,1,Attchd,2005,2,430,2009
1426,12513,Pave,FR2,4,4,1920,2007,715,1281,457,1738,2,0,4,1,7,1,Attchd,1920,1,368,2009
1427,8499,Pave,Inside,6,5,2006,2007,616,616,796,1412,2,1,3,1,6,1,BuiltIn,2007,2,432,2007
1428,3180,Pave,Inside,7,5,2005,2005,600,520,600,1200,2,1,2,1,4,0,Detchd,2005,2,480,2006
1429,7500,Pave,Inside,7,5,2000,2000,814,814,860,1674,2,1,3,1,7,0,Attchd,2000,2,663,2010
1430,9179,Pave,Inside,7,5,1999,1999,873,882,908,1790,2,1,3,1,7,0,Attchd,1999,2,588,2008
1431,2665,Pave,Inside,5,6,1977,1977,757,925,550,1475,2,0,4,1,6,1,Attchd,1977,1,336,2006
1432,4435,Pave,Inside,6,5,2003,2004,848,848,0,848,1,0,1,1,4,0,Attchd,2003,2,420,2009
1433,10635,Pave,FR2,8,5,2003,2003,1657,1668,0,1668,2,0,3,1,8,1,Attchd,2003,2,502,2010
1434,10998,Pave,Inside,5,5,1941,1960,984,984,620,1604,2,0,3,1,6,0,Detchd,1977,2,660,2009
1435,1953,Pave,Inside,6,5,1973,1973,483,483,504,987,1,1,2,1,5,0,Detchd,1973,1,264,2006
1436,9735,Pave,Inside,5,5,2006,2007,384,754,640,1394,2,1,3,1,7,0,BuiltIn,2007,2,400,2008
1437,8212,Pave,Inside,3,3,1914,1950,864,864,0,864,1,0,2,1,5,0,Detchd,1938,1,200,2010
1438,12925,Pave,Corner,6,7,1970,1970,1205,2117,0,2117,2,1,4,1,7,2,Attchd,1970,2,550,2008
1439,7200,Pave,Corner,7,7,1920,1950,596,998,764,1762,1,1,4,1,8,0,Detchd,1989,2,576,2006
1440,25339,Pave,Inside,5,7,1918,2007,816,1416,0,1416,2,0,3,1,7,0,Attchd,2007,2,576,2007
1441,9060,Pave,Inside,6,5,1939,1950,560,698,560,1258,1,0,2,1,6,0,Detchd,1939,1,280,2009
1442,8520,Pave,Inside,6,7,1916,1950,714,1664,862,2526,2,0,5,1,10,1,Detchd,1916,1,216,2007
1443,16545,Pave,Inside,8,5,1998,1998,1284,1310,1140,2450,2,1,3,1,7,1,Attchd,1998,3,1069,2009
1444,9204,Pave,Inside,5,5,1963,1963,1144,1144,0,1144,1,1,3,1,6,0,Detchd,1962,1,336,2008
1445,16381,Pave,Inside,6,5,1969,1969,1844,1844,0,1844,2,0,3,1,7,1,Attchd,1969,2,540,2006
1446,4043,Pave,Inside,6,5,1977,1977,1069,1069,0,1069,2,0,2,1,4,1,Attchd,1977,2,440,2010
1447,4435,Pave,Inside,6,5,2003,2003,848,848,0,848,1,0,1,1,3,0,Attchd,2003,2,420,2008
1448,19690,Pave,CulDSac,6,7,1966,1966,697,1575,626,2201,2,0,4,1,8,1,Attchd,1966,2,432,2006
1449,9503,Pave,Inside,5,5,1958,1983,1024,1344,0,1344,1,0,2,1,6,1,Detchd,1970,1,484,2007
1450,10800,Pave,Inside,4,6,1927,2007,656,968,0,968,2,0,4,1,5,0,Detchd,1928,1,216,2007
1451,11526,Pave,Inside,6,7,1922,1994,588,1423,748,2555,2,0,3,1,11,1,Detchd,1993,2,672,2008
1452,8800,Pave,Inside,6,6,1964,1964,1251,1251,0,1251,1,0,3,1,6,2,Attchd,1964,1,461,2006
1453,13031,Pave,Corner,6,5,1995,1996,691,691,807,1498,2,1,3,1,6,1,Attchd,1995,2,409,2006
1454,9069,Pave,Inside,6,6,1992,1992,936,996,0,996,1,0,2,1,5,0,Attchd,1992,2,564,2010
1455,1974,Pave,Inside,4,5,1973,1973,546,546,546,1092,1,1,3,1,6,0,Attchd,1973,1,286,2010
1456,10574,Pave,Inside,8,5,2005,2006,1082,1082,871,1953,2,1,3,1,9,1,Attchd,2005,3,1043,2009
1457,2522,Pave,Inside,7,5,2004,2004,970,970,739,1709,2,0,3,1,7,0,Detchd,2004,2,380,2006
1458,3316,Pave,Inside,8,5,2005,2005,1247,1247,0,1247,1,1,1,1,4,1,Attchd,2005,2,550,2006
1459,8544,Pave,Corner,3,4,1950,1950,0,1040,0,1040,2,0,2,2,6,0,Detchd,1987,2,400,2009
1460,2160,Pave,Inside,7,5,1999,2000,600,624,628,1252,2,1,2,1,4,0,Detchd,1999,2,462,2008
1461,8400,Pave,Inside,6,5,1925,1950,1181,1390,304,1694,2,0,4,1,7,1,Detchd,1925,2,576,2008
1462,9230,Pave,Corner,5,8,1965,1998,864,1200,0,1200,1,1,1,1,6,0,Detchd,1977,2,884,2006
1463,5868,Pave,Inside,5,7,1956,2000,936,936,0,936,1,0,2,1,4,0,Attchd,1956,1,308,2010
1464,14230,Pave,Corner,8,5,2007,2007,1566,1600,0,1600,2,0,3,1,7,1,Attchd,2007,3,890,2009
1465,7200,Pave,Corner,5,7,1951,2000,900,900,0,900,1,0,3,1,5,0,Detchd,2005,2,576,2010
1466,11478,Pave,Inside,8,5,2007,2008,1704,1704,0,1704,2,0,3,1,7,1,Attchd,2008,3,772,2010
1467,16321,Pave,CulDSac,5,6,1957,1997,1484,1600,0,1600,1,0,2,1,6,2,Attchd,1957,1,319,2006
1468,6324,Pave,Inside,4,6,1927,1950,520,520,0,520,1,0,1,1,4,0,Detchd,1920,1,240,2008
1469,8500,Pave,Inside,4,4,1920,1950,649,649,668,1317,1,0,3,1,6,0,Detchd,1920,1,250,2008
1470,8544,Pave,CulDSac,5,6,1966,2006,1228,1228,0,1228,1,1,3,1,6,0,Attchd,1966,1,271,2008
